network,station,latitude,longitude,elevation
AZ,BZN,33.49150,-116.66700,1301
AZ,CPE,32.88890,-117.10510,150
AZ,CRY,33.56540,-116.73730,1128
AZ,FRD,33.49470,-116.60220,1164
AZ,KNW,33.71410,-116.71190,1507
AZ,LVA2,33.35160,-116.56150,1435
AZ,MONP2,32.89200,-116.42230,1875
AZ,MTRP,32.82030,-117.05670,200
AZ,PFO,33.61170,-116.45940,1259
AZ,RDM,33.63000,-116.84780,1365
AZ,SCI2,32.91500,-118.48790,486
AZ,SMER,33.45770,-117.17080,355
AZ,SND,33.55190,-116.61290,1358
AZ,TRO,33.52340,-116.42570,2628
BC,CBX,32.31310,-116.66360,1250
BC,CCX,31.86789,-116.66446,36
BC,CPX,32.41950,-115.30500,192
BC,DOCTX,31.95950,-114.74520,0
BC,GUVIX,32.30290,-115.07600,10
BC,PESCX,32.43380,-114.96490,0
BC,PIX,31.56290,-113.45990,77
BC,RITX,32.16600,-114.96158,9
BC,RMX,32.55350,-116.02880,1278
BC,SFX,31.03760,-114.85100,39
BC,SJX,32.00480,-115.94800,1616
BC,SLRCX,32.45790,-114.70490,47
BC,TJX,32.51017,-117.05430,210
BC,TKX,32.56870,-116.60750,541
BC,UABX,32.63160,-115.44470,44
BC,VTX,31.39140,-115.78400,746
BC,YUCAX,32.60540,-115.00940,0
BK,BDM,37.95397,-121.86554,219
BK,BKS,37.87622,-122.23558,243
BK,CMB,38.03455,-120.38651,697
BK,CVS,38.34526,-122.45840,295
BK,HAST,36.38870,-121.55140,539
BK,HAST,36.38870,-121.55140,542
BK,HELL,36.68011,-119.02282,1137
BK,HELL,36.68011,-119.02282,1140
BK,KCC,37.32363,-119.31870,888
BK,MHC,37.34164,-121.64257,1250
BK,PKD,35.94517,-120.54160,583
BK,RAMR,35.63597,-120.86984,414
BK,RAMR,35.63597,-120.86984,416
BK,SAO,36.76403,-121.44722,317
BK,THIS,35.72405,-120.22845,643
BK,TRAM,35.67691,-120.27093,642
BK,TSCN,35.54398,-120.34806,476
BK,WENL,37.62211,-121.75697,138
CE,02143,32.83990,-116.97410,108
CE,03121,32.74880,-117.24180,11
